airportID,airportName,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,dst
1,Goroka,Goroka,Papua New Guinea,GKA,AYGA,-6.081689,145.391881,5282,10,U
2,Madang,Madang,Papua New Guinea,MAG,AYMD,-5.207083,145.7887,20,10,U
3,Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789,144.295861,5388,10,U
4,Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569828,146.726242,239,10,U
5,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY,-9.443383,147.22005,146,10,U
6,Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK,-3.583828,143.669186,19,10,U
7,Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW,61.160517,-45.425978,112,-3,E
8,Nuuk,Godthaab,Greenland,GOH,BGGH,64.190922,-51.678064,283,-3,E
9,Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF,67.016969,-50.689325,165,-3,E
11,Akureyri,Akureyri,Iceland,AEY,BIAR,65.659994,-18.072703,6,0,N
12,Egilsstadir,Egilsstadir,Iceland,EGS,BIEG,65.283333,-14.401389,76,0,N
15,Isafjordur,Isafjordur,Iceland,IFJ,BIIS,66.058056,-23.135278,8,0,N
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.605556,171,0,N
18,Reykjavik,Reykjavik,Iceland,RKV,BIRK,64.13,-21.940556,48,0,N
21,Sault Ste Marie,Sault Sainte Marie,Canada,YAM,CYAM,46.485001,-84.509445,630,-5,A
24,St Anthony,St. Anthony,Canada,YAY,CYAY,51.391944,-56.083056,108,-4,A
27,Baie Comeau,Baie Comeau,Canada,YBC,CYBC,49.1325,-68.204444,71,-5,A
28,Bagotville,Bagotville,Canada,YBG,CYBG,48.330555,-70.996391,522,-5,A
29,Baker Lake,Baker Lake,Canada,YBK,CYBK,64.298889,-96.077778,59,-6,A
30,Campbell River,Campbell River,Canada,YBL,CYBL,49.950832,-125.270833,346,-8,A
32,Cambridge Bay,Cambridge Bay,Canada,YCB,CYCB,69.108055,-105.138333,90,-7,A
33,Nanaimo,Nanaimo,Canada,YCD,CYCD,49.052333,-123.870167,93,-8,A
34,Castlegar,Castlegar,Canada,YCG,CYCG,49.296389,-117.6325,1624,-8,A
36,Charlo,Charlo,Canada,YCL,CYCL,47.990833,-66.330278,132,-4,A
37,Kugluktuk,Coppermine,Canada,YCO,CYCO,67.816667,-115.143889,74,-7,A
40,Clyde River,Clyde River,Canada,YCY,CYCY,70.486111,-68.516667,87,-5,A
41,Fairmont Hot Springs,Coral Harbour,Canada,YZS,CYCZ,64.193333,-83.359444,2661,-7,A
42,Dawson City,Dawson,Canada,YDA,CYDA,64.043056,-139.127778,1215,-8,A
45,Deer Lake,Deer Lake,Canada,YDF,CYDF,49.210833,-57.391388,72,-4,A
46,Dease Lake,Dease Lake,Canada,YDL,CYDL,58.422222,-130.032222,2600,-8,A
48,Dawson Creek,Dawson Creek,Canada,YDQ,CYDQ,55.742333,-120.183,2148,-7,A
49,Edmonton Intl,Edmonton,Canada,YEG,CYEG,53.309723,-113.579722,2373,-7,A
50,Arviat,Eskimo Point,Canada,YEK,CYEK,61.094166,-94.070833,32,-6,A
54,Inuvik Mike Zubko,Inuvik,Canada,YEV,CYEV,68.304167,-133.482778,224,-7,A
55,Iqaluit,Iqaluit,Canada,YFB,CYFB,63.75639,-68.555832,110,-5,A
56,Fredericton,Fredericton,Canada,YFC,CYFC,45.868889,-66.537222,68,-4,A
58,Flin Flon,Flin Flon,Canada,YFO,CYFO,54.678055,-101.681667,997,-6,A
60,Fort Simpson,Fort Simpson,Canada,YFS,CYFS,61.760153,-121.236525,555,-7,A
61,Kingston,Kingston,Canada,YGK,CYGK,44.225277,-76.596944,305,-5,A
62,La Grande Riviere,La Grande Riviere,Canada,YGL,CYGL,53.625278,-77.704167,639,-5,A
63,Gaspe,Gaspe,Canada,YGP,CYGP,48.775278,-64.478611,108,-5,A
64,Geraldton Greenstone Regional,Geraldton,Canada,YGQ,CYGQ,49.778332,-86.939445,1144,-5,A
65,Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,CYGR,47.424721,-61.778056,35,-4,A
67,Dryden Rgnl,Dryden,Canada,YHD,CYHD,49.831667,-92.744167,1354,-6,A
68,Ulukhaktok Holman,Holman Island,Canada,YHI,CYHI,70.762778,-117.806111,117,-7,A
69,Gjoa Haven,Gjoa Haven,Canada,YHK,CYHK,68.635556,-95.849722,152,-6,A
70,Hamilton,Hamilton,Canada,YHM,CYHM,43.173611,-79.935,780,-5,A
71,St Hubert,Montreal,Canada,YHU,CYHU,45.5175,-73.416944,90,-5,A
72,Hay River,Hay River,Canada,YHY,CYHY,60.839722,-115.782778,543,-7,A
73,Halifax Intl,Halifax,Canada,YHZ,CYHZ,44.880833,-63.50861,477,-4,A
75,Pond Inlet,Pond Inlet,Canada,YIO,CYIO,72.683334,-77.966667,181,-5,A
77,Stephenville,Stephenville,Canada,YJT,CYJT,48.544167,-58.549999,80,-4,A
78,Kamloops,Kamloops,Canada,YKA,CYKA,50.702222,-120.444444,1133,-8,A
79,Waterloo,Waterloo,Canada,YKF,CYKF,43.460833,-80.378611,1054,-5,A
80,Schefferville,Schefferville,Canada,YKL,CYKL,54.805278,-66.805278,1709,-4,A
85,Lloydminster,Lloydminster,Canada,YLL,CYLL,53.309166,-110.0725,2193,-6,A
87,Kelowna,Kelowna,Canada,YLW,CYLW,49.956112,-119.377778,1409,-8,A
